Entity,Code,Year,Coal,Oil,Gas,Nuclear,Hydro,Wind,Solar,Other renewables
Africa,,2022,773.498,1632.822,1138.9896,17.710443,286.3829,43.662098,33.22373,16.768696
Algeria,DZA,2022,33.33789,5314.0444,9860.092,0,4.4579387,0.6096425,39.584377,0
Argentina,ARG,2022,316.3866,8410.91,10037.938,410.5996,1368.5503,811.4346,168.29114,164.19905
Asia,,2022,7804.6694,5238.7954,3385.3035,406.62253,1102.9751,500.98453,411.8676,241.90823
Australia,AUS,2022,16455.543,21928.844,15901.653,0,1705.3701,3152.4138,3868.3604,395.80554
Austria,AUT,2022,3164.7505,15042.984,8851.414,0,10363.625,2113.0002,938.6345,1676.8304
Azerbaijan,AZE,2022,0.150178,6595.299,11683.125,0,401.41214,20.966673,15.328562,31.635185
Bangladesh,BGD,2022,291.74185,892.7106,1705.6271,0,11.803502,0.077382684,10.015785,0.07178287
Belarus,BLR,2022,1124.4541,9104.797,19362.898,1230.5691,93.78619,50.311047,77.93595,87.94456
Belgium,BEL,2022,2744.6348,27538.754,12485.879,9386.54,70.59932,2663.3215,1514.4756,1221.992
Brazil,BRA,2022,755.4648,6458.953,1485.0991,169.1658,5171.7266,988.44006,364.78784,782.39667
Bulgaria,BGR,2022,10726.563,9077.011,3986.24,6067.9277,1448.3309,576.01013,770.2117,1049.0356
Canada,CAN,2022,2788.582,30822.062,31629.277,5636.829,27013.396,2544.18,407.71353,707.26636
Chile,CHL,2022,3120.2402,11292.39,3805.1519,0,2958.7788,1245.5499,1922.614,997.9826
China,CHN,2022,17224.002,5485.373,2634.8838,733.05255,2382.6736,1394.5349,782.0486,395.36432
Colombia,COL,2022,549.2634,5146.969,2426.0762,0,3233.525,3.7633903,25.259655,178.78891
Croatia,HRV,2022,1186.8112,9916.524,6046.4917,0,3506.5088,1487.1688,104.43722,946.13855
Cyprus,CYP,2022,304.28967,22948.918,0,0,0,467.19568,1334.9636,99.36073
Czechia,CZE,2022,15589.091,10943.296,7029.2134,7395.684,519.9754,159.3299,570.3028,1655.0967
Denmark,DNK,2022,2039.1913,13412.151,2887.631,0,6.494198,8422.012,859.4669,4068.9055
Ecuador,ECU,2022,44.43095,8139.018,305.39227,0,3567.978,8.776857,5.576063,69.102066
Egypt,EGY,2022,128.53339,3795.3647,5473.2437,0,324.06052,120.81557,118.044815,0
Estonia,EST,2022,25660.084,11014.897,2730.869,0,46.085003,1299.819,1164.3832,4224.8853
Europe,,2022,4310.634,12674.961,11735.474,3257.7788,2442.2498,1833.3977,816.31635,930.99023
European Union (27),,2022,4333.6333,13745.021,7676.0947,3403.712,1613.6509,2450.7505,1207.8776,1231.8976
Finland,FIN,2022,6123.5234,16791.373,1953.8087,11396.982,6428.19,5601.1963,148.12257,8061.3145
France,FRA,2022,920.02167,12514.184,5937.455,11409.492,1798.6763,1533.2913,812.11273,485.3543
Germany,DEU,2022,7763.265,14191.266,9270.737,1041.2916,547.25854,3917.9648,1900.9261,1928.7665
Greece,GRC,2022,1927.1311,16467.082,5966.988,0,1142.3481,2731.2783,1795.8003,155.71458
