Entity,Code,Year,Coal (% electricity),Gas (% electricity),Nuclear (% electricity),Hydro (% electricity),Solar (% electricity),Wind (% electricity)
ASEAN (Ember),,2022,39.761673,28.723475,0,18.712048,3.0468497,1.0577866
Africa,,2022,26.480967,40.687294,1.1313559,17.555182,2.0366042,2.6764727
Africa (EI),,2022,26.480967,40.687294,1.1313559,17.55518,2.0366042,2.6764727
Africa (Ember),,2022,23.527836,32.75161,1.1243608,18.200798,1.9327394,2.6395123
Algeria,DZA,2022,0,0,0,0.08378182,0.74394286,0.011457529
Argentina,ARG,2022,1.8723464,56.205193,5.199415,18.201433,2.025475,9.758474
Asia,,2022,50.59394,16.440958,4.7326403,12.318739,4.6000037,5.5953183
Asia (Ember),,2022,56.134415,10.631199,5.1077003,13.429374,4.8486795,6.318669
Asia Pacific (EI),,2022,55.82188,10.132329,5.0724406,13.140412,5.1090026,6.193406
Australia,AUS,2022,47.25445,18.730135,0,6.194374,13.3065815,11.590115
Austria,AUT,2022,0.21641675,18.179007,0,55.75823,4.2201266,10.712629
Azerbaijan,AZE,2022,0,0,0,5.493135,0.20976418,0.28691885
Bangladesh,BGD,2022,14.314208,60.54206,0,1.1380969,0.7626422,0.011732957
Belarus,BLR,2022,0,0,11.831108,0.8652601,0.7190276,0.46416378
Belgium,BEL,2022,0.042292237,24.444914,46.658913,0.21146119,7.7711987,12.7616825
Bolivia,BOL,2022,0,57.941437,0,25.55457,4.347826,4.2590947
Bosnia and Herzegovina,BIH,2022,61.51478,0,0,34.421185,0.80049264,2.586207
Brazil,BRA,2022,2.298496,7.177476,2.1354718,62.86864,3.8890846,11.7495
Bulgaria,BGR,2022,42.28944,5.753262,32.542503,7.3349147,3.4005535,2.8272042
Burundi,BDI,2022,0,0,0,63.888885,2.7777777,0
CIS (EI),,2022,18.33879,47.773033,15.399531,16.501307,0.32574284,0.47344667
Canada,CAN,2022,6.3813796,10.508756,12.888068,61.481472,0.87090003,5.9725575
Central America (EI),,2022,0,0,0,50.079144,4.694674,5.779334
Chile,CHL,2022,23.023312,19.093967,0,24.357126,17.44773,10.598413
China,CHN,2022,61.331715,3.1282492,4.7247863,14.913459,4.7555585,9.056547
Colombia,COL,2022,5.1585426,14.339802,0,73.367256,0.57974446,0.08282064
Costa Rica,CRI,2022,0,0,0,73.6342,0.4750594,10.768013
Croatia,HRV,2022,10.906516,25.708216,0,37.88952,1.062323,16.076487
Cyprus,CYP,2022,0,0,0,0,11.596957,4.1825094
Czechia,CZE,2022,43.437904,7.813418,36.4117,2.3851485,2.9491246,0.76371753
Denmark,DNK,2022,10.517141,2.9924464,0,0.058105756,5.7815228,55.02615
Eastern Africa (EI),,2022,0,0,0,64.81927,1.6595567,2.2335937
Ecuador,ECU,2022,0,0.6642512,0,74.365944,0.12077295,0.18115942
Egypt,EGY,2022,0,66.264595,0,6.7614975,2.4268348,2.0327742
El Salvador,SLV,2022,0,13.648294,0,31.627298,14.435696,0.2624672
Estonia,EST,2022,0,0.47961628,0,0.23980814,6.3549156,7.5539565
Europe,,2022,15.256816,25.727707,20.28512,14.59266,4.877562,10.954714
Europe (EI),,2022,16.662289,19.686787,19.008154,14.532427,6.31747,14.215369
Europe (Ember),,2022,16.576508,25.590746,19.411413,15.210285,4.8586726,11.191201
European Union (27),,2022,16.401402,19.778261,21.642147,9.845678,7.3698545,14.953232
Finland,FIN,2022,4.069051,1.8084669,34.333473,18.824497,0.41101524,16.577614
France,FRA,2022,0.9372071,9.159069,63.304085,9.836414,4.255772,8.192042
G20 (Ember),,2022,39.389908,18.526005,10.251585,13.727546,4.8654633,8.5219965
G7 (Ember),,2022,18.522587,33.01476,17.035725,10.869689,5.6783104,9.878096
Georgia,GEO,2022,0,23.806181,0,75.63203,0,0.56179774
Germany,DEU,2022,31.0847,16.540152,6.270179,2.99684,10.129147,21.656246
Greece,GRC,2022,10.4119,37.29977,0,9.019833,12.623952,20.709383
High-income countries,,2022,17.558075,29.723774,15.558476,10.664033,5.4853177,8.910085
Hong Kong,HKG,2022,0,0,0,0,0.14416234,0.002831637
Hungary,HUN,2022,8.164414,24.943691,44.622746,0.5349099,12.584458,1.7173424
Iceland,ISL,2022,0,0,0,70.4963,0,0.028510367
India,IND,2022,74.164154,2.712261,2.5185668,9.500258,5.178052,3.811312
Indonesia,IDN,2022,61.554836,17.002459,0,8.184925,0.1319182,0.10793308
Iran,IRN,2022,0.17798872,79.26971,0.9546668,4.476686,0.18068552,0.30473828
Iraq,IRQ,2022,0,0,0,2.8088582,0.36016667,0
Ireland,IRL,2022,7.3490033,49.181793,0,2.0827134,0.26777744,33.323414
Israel,ISR,2022,0,0,0,0.030701533,9.275628,0.045116603
Italy,ITA,2022,7.5987954,50.684933,0,10.736571,9.944058,7.139784
