Year,Sum of Biofuels consumption - TWh,Sum of Other renewables (including geothermal and biomass) - TWh,Sum of Solar consumption - TWh,Sum of Wind consumption - TWh,Sum of Hydro consumption - TWh,Sum of Nuclear consumption - TWh,Sum of Gas consumption - TWh,Sum of Coal consumption - TWh,Sum of Oil consumption - TWh
1965,36.119444,344.0669531,0,0,16839.29736,447.7040734,38175.11732,100904.5821,110763.604
1966,36.839376,382.1935231,0,0,17950.70636,601.9780469,41610.54875,101810.7584,119244.4124
1967,37.534864,386.9720815,0,0,18305.31013,716.6344707,44716.09114,100149.6526,127894.0056
1968,38.2152,428.6159863,0,0,19254.64485,908.7566816,48863.08537,101635.7744,138855.1269
1969,38.895924,451.1083297,0,0,20323.32008,1084.04838,53754.87318,104704.6355,150612.6162
1970,61.2159528,503.2159163,0,0,21279.50486,1390.220375,58592.75592,106185.3594,164091.0038
1971,61.2282109,537.8625414,0,0,22199.45291,1929.706082,62828.65811,105432.8771,173333.367
1972,67.900659,574.4963056,0,0,23228.26361,2687.693775,66431.60784,106521.5121,186442.909
1973,64.167561,616.4321718,0,0,23551.15231,3584.883481,69686.90286,109558.6092,201378.6929
1974,64.0322945,657.0855784,0,0,25840.63485,4671.24073,71533.82787,109677.7704,198208.4739
1975,61.1816842,664.9897836,0,0,26157.51948,6519.468822,71661.62691,111557.6717,195794.8518
1976,60.9033559,736.7074431,0,0,25932.45433,7627.232682,75999.80683,115708.703,208453.325
1977,86.1336558,777.5275518,0,0,26982.92694,9490.335128,78503.32083,118978.4294,215266.3265
1978,115.831094,824.4813907,0,0.062096797,29115.03643,11039.89749,81778.63872,120328.7625,225068.22
1979,143.8852845,882.7125724,0,0.124193601,30556.1153,11513.12599,86758.70686,125858.3898,228549.5595
1980,170.065608,941.4901057,0,0.217338331,31129.33712,12645.89007,87464.3972,128967.2893,218501.7731
1981,154.627171,1004.561523,0,0.217338331,31791.30187,15067.39608,88375.75574,130538.679,210388.3393
1982,199.836556,1158.745836,0,0.382929141,32351.95687,16340.59635,88722.1327,131976.4707,203634.4717
1983,267.353623,1283.293892,0.053225826,0.670851489,33740.43855,18560.89199,90189.01093,135902.9934,201859.8695
1984,319.506315,1431.949196,0.111971329,0.907006648,34847.06373,22615.53131,97481.57265,141753.9995,206039.2036
1985,381.823665,1478.379399,0.208422991,1.309121312,35332.00327,26870.00052,99453.44296,147613.401,205749.3659
1986,475.736105,1603.088346,0.269390764,2.858190195,35673.07904,28844.69108,100393.5062,149087.3082,212235.2316
1987,481.971053,1714.294283,0.188118318,4.03055559,36190.564,31288.35049,105656.644,154896.8343,216300.2551
1988,506.356065,1766.740114,0.180896219,6.857787889,37320.28598,34088.7771,110421.4563,159363.1872,223120.0751
1989,542.881396,1955.605451,4.679228869,48.50958444,36955.88549,35126.56751,115242.9466,160900.1115,226809.317
